Product Code,Description, in Stock,Category,Sold,,,,,,
LK-BS-CU2,LABKEY BASIC WITH 2 RELE',16,BASIC,8,,,,,,
LK-BS-CU4,LABKEY BASIC WITH 4 RELE',8,BASIC,4,,,,,,
LK-BS-CU2-R,LABKEY BASIC WITH 2 RELE' and Radio module,4,BASIC RADIO,0,,,,,,
LK-BS-CU4-R,LABKEY BASIC WITH 4 RELE' and Radio module,0,BASIC RADIO,0,,,,,,
LK-BS/REM-CU2,LABKEY BASIC REMOTE WITH 2 RELE',1,BASIC REMOTE,1,,,,,,
LK-BS/REM-CU4,LABKEY BASIC REMOTE WITH 4 RELE',0,BASIC REMOTE,0,,,,,,
LK-PR-CU2,LABKEY PRO WITH 2 RELE',12,PRO,5,,,,,,
LK-PR-CU4,LABKEY PRO WITH 4 RELE',4,PRO,0,,,,,,
LK-PR-CU2-R,LABKEY PRO WITH 2 RELE' and Radio module,2,PRO RADIO,0,,,,,,.
LK-PR-CU4-R,LABKEY PRO WITH 4 RELE' and Radio module,0,PRO RADIO,0,,,,,,
LK-PR/REM-CU2,LABKEY PRO REMOTE WITH 2 RELE',0,PRO REMOTE,0,,,,,,
LK-PR/REM-CU4,LABKEY PRO REMOTE WITH 4 RELE',0,PRO REMOTE,0,,,,,,
LK-LT-CU2,LABKEY LTE WITH 2 RELE',7,LTE,2,,,,,,
LK-LT-CU4,LABKEY LTE WITH 4 RELE',8,LTE,4,,,,,,
LK-LT-CU2-R,LABKEY LTE WITH 2 RELE' and Radio module,2,LTE RADIO,1,,,,,,
LK-LT-CU4-R,LABKEY LTE WITH 4 RELE' and Radio module,0,LTE RADIO,0,,,,,,
LK-LT/RM-CU2,LABKEY LTE REMOTE WITH 2 RELE',0,LTE REMOTE,1,,,,,,
LK-LT/RM-CU4,LABKEY LTE REMOTE WITH 4 RELE',0,LTE REMOTE,0,,,,,,
LK-ST-CU2,LABKEY STAND ALONE WITH 2 RELE',3,STAND ALONE,1,,,,,,
LK-ST-CU4,LABKEY STAND ALONE WITH 4 RELE',0,STAND ALONE,0,,,,,,
LK-ST/ETH-CU4,LABKEY STAND ALONE WITH 4 RELE' ETHERNET,0,STAND ALONE,0,,,,,,
LK-ST-CU2-R,LABKEY STAND ALONE WITH 2 RELE' and Radio module,0,STAND ALONE RADIO,0,,,,,,
LK-ST-CU4-R,LABKEY STAND ALONE WITH 4 RELE' and Radio module,0,STAND ALONE RADIO,0,,,,,,
LK-NX-T,LABKEY NEXT KEYPAD,7,NEXT,3,,,,,,
LK-NX-N,LABKEY NEXT NFC,8,NEXT,0,,,,,,
LK-NX-TN,LABKEY NEXT KEYPAD + NFC,19,NEXT,17,,,,,,
LK-NX-Q,LABKEY NEXT QR CODE,9,NEXT,1,,,,,,
LK-NX-TS,LABKEY NEXT POCKET,0,NEXT,0,,,,,,
LK-MI-T,LABKEY MINI KEYPAD,5,MINI,2,,,,,,
LK-MI-TN,LABKEY MINI KEYPAD + NFC,3,MINI,1,,,,,,
LK-MI-TQ,LABKEY MINI KEYPAD + QR CODE,5,MINI,0,,,,,,
LK-MI-TQN,LABKEY MINI KEYPAD + QR CODE + NFC,9,MINI,0,,,,,,
LK-MI-R,LABKEY MINI RADIO KEYPAD,3,MINI,2,,,,,,
LK-GL-T,LABKEY GLASS TASTIERINO,0,GLASS,0,,,,,,
LK-GL-N,LABKEY GLASS NFC,5,GLASS,0,,,,,,
LK-GL-TN,LABKEY GLASS TASTIERINO + NFC,5,GLASS,0,,,,,,
LK-GL-TQ,LABKEY GLASS TASTIERINO + QR CODE,9,GLASS,4,,,,,,
LK-GL-NQ,LABKEY GLASS NFC + QR CODE,14,GLASS,6,,,,,,
LK-GL-TQN,LABKEY GLASS KEYPAD + QR CODE + NFC,16,GLASS,7,,,,,,
LK-GL-TQN-503,LABKEY GLASS 503,3,GLASS,0,,,,,,
LK-EX-TA,LABKEY EXTREME VANDALPROOF KEYPAD,8,EXTREME,3,,,,,,
LK-EX-QI,LABKEY EXTREME RECESSED QR CODE,0,EXTREME,0,,,,,,
LK-EX-TAC,LABKEY EXTREME RECESSED VANDALPROOF KEYPAD WITH CARBON BOX,0,EXTREME,0,,,,,,
LK-CC-CU2,LABKEY CREDIT CARD CONTROL UNIT,0,CREDIT CARD,0,,,,,,
LK-CC-TN,LABKEY CREDIT CARD COMMAND DEVICE,0,CREDIT CARD,0,,,,,,
LK-ACC-PS/NX,NEXT protective shield,16,ACCESSORY,4,,,,,,
LK-ACC-AS/MI-GL,MINI / GLASS Control Protective Enclosure,14,ACCESSORY,2,,,,,,
LK-PR-CU4-ACC/CU4,Additional 4-relay plugin with LK-PR-CU4,4,PRO,0,,,,,,
LK-ACC/INPUT,4 GPIO Input Management Plugin,0,ACCESSORY,0,,,,,,
LK-ALIM/DIN,DIN Power Supply,0,ACCESSORY,0,,,,,,
LK-ACC/LETT-NFC,Desktop NFC Reader,6,ACCESSORY,3,,,,,,
LK-GN-TS,STANDARD NEUTRAL CARD,0,MEDIA,0,,,,,,
LK-GN-TSO,STANDARD CARD LABKEY LOGO,201,MEDIA,0,,,,,,
LK-GN-TS1,PERSONALIZED SINGLE-SIDED CARD,0,MEDIA,0,,,,,,
LK-GN-TS2,PERSONALIZED DOUBLE-SIDED CARD,0,MEDIA,0,,,,,,
LK-GNGP-,NEUTRAL KEYCHAIN TOKEN (without logo),0,MEDIA,0,,,,,,
LK-GN-GP2,KEYCHAIN TOKENS,269,MEDIA,0,,,,,,
LK-GN-SK,NFC STICKERS WITH CUSTOM PRINT,0,MEDIA,0,,,,,,
LK-GN-BF/LK,SILICONE FITNESS BRACELET WITH LABKEY LOGO,0,MEDIA,0,,,,,,
LK-GN-BF1,SILICONE FITNESS BRACELET,0,MEDIA,0,,,,,,
